bulan_tahun,ch
jan_2005,406
feb_2005,352
mar_2005,299
apr_2005,233
mei_2005,7
jun_2005,46
jul_2005,41
agu_2005,10
sep_2005,34
okt_2005,178
nov_2005,77
des_2005,603
jan_2006,429
feb_2006,401
mar_2006,261
apr_2006,278
mei_2006,231
jun_2006,28
jul_2006,4
agu_2006,0
sep_2006,0
okt_2006,3
nov_2006,22
des_2006,633
jan_2007,70
feb_2007,557
mar_2007,331
apr_2007,577
mei_2007,97
jun_2007,34
jul_2007,0
agu_2007,0
sep_2007,1
okt_2007,90
nov_2007,393
des_2007,719
jan_2008,246
feb_2008,374
mar_2008,560
apr_2008,353
mei_2008,141
jun_2008,21
jul_2008,0
agu_2008,0
sep_2008,26
okt_2008,217
nov_2008,750
des_2008,209
jan_2009,502
feb_2009,238
mar_2009,270
apr_2009,462
mei_2009,200
jun_2009,26
jul_2009,0
agu_2009,0
sep_2009,0
okt_2009,63
nov_2009,241
des_2009,93
jan_2010,455
feb_2010,323
mar_2010,351
apr_2010,119
mei_2010,430
jun_2010,162
jul_2010,33
agu_2010,159
sep_2010,415
okt_2010,275
nov_2010,387
des_2010,618
jan_2011,654
feb_2011,358
mar_2011,278
apr_2011,377
mei_2011,193
jun_2011,0
jul_2011,0
agu_2011,0
sep_2011,3
okt_2011,36
nov_2011,377
des_2011,310
jan_2012,539
feb_2012,546
mar_2012,356
apr_2012,285
mei_2012,158
jun_2012,3
jul_2012,0
agu_2012,0
sep_2012,0
okt_2012,118
nov_2012,531
des_2012,378
jan_2013,463
feb_2013,448
mar_2013,314
apr_2013,320
mei_2013,193
jun_2013,174
jul_2013,98
agu_2013,15
sep_2013,5
okt_2013,248
nov_2013,294
des_2013,390
jan_2014,491
feb_2014,412
mar_2014,304
apr_2014,285
mei_2014,237
jun_2014,56
jul_2014,0
agu_2014,1
sep_2014,0
okt_2014,0
nov_2014,440
des_2014,0
jan_2015,389
feb_2015,182
mar_2015,463
apr_2015,370
mei_2015,53
jun_2015,49
jul_2015,0
agu_2015,0
sep_2015,0
okt_2015,0
nov_2015,217
des_2015,324
jan_2016,235
feb_2016,518
mar_2016,569
apr_2016,292
mei_2016,180
jun_2016,222
jul_2016,278
agu_2016,59
sep_2016,320
okt_2016,438
nov_2016,693
des_2016,412
jan_2017,455
feb_2017,430
mar_2017,436
apr_2017,372
mei_2017,184
jun_2017,62
jul_2017,28
agu_2017,1
sep_2017,191
okt_2017,274
nov_2017,928
des_2017,372
jan_2018,582
feb_2018,460
mar_2018,333
apr_2018,220
mei_2018,42
jun_2018,0
jul_2018,0
agu_2018,0
sep_2018,0
okt_2018,0
nov_2018,256
des_2018,291
