bulan_tahun,ch
jan_2005,324
feb_2005,321
mar_2005,271
apr_2005,86
mei_2005,0
jun_2005,20
jul_2005,24
agu_2005,0
sep_2005,2
okt_2005,97
nov_2005,136
des_2005,517
jan_2006,432
feb_2006,168
mar_2006,121
apr_2006,0
mei_2006,149
jun_2006,0
jul_2006,7
agu_2006,0
sep_2006,0
okt_2006,1
nov_2006,9
des_2006,466
jan_2007,93
feb_2007,288
mar_2007,287
apr_2007,421
mei_2007,60
jun_2007,52
jul_2007,5
agu_2007,0
sep_2007,2
okt_2007,81
nov_2007,231
des_2007,686
jan_2008,254
feb_2008,257
mar_2008,471
apr_2008,363
mei_2008,16
jun_2008,18
jul_2008,0
agu_2008,0
sep_2008,3
okt_2008,72
nov_2008,667
des_2008,301
jan_2009,263
feb_2009,326
mar_2009,131
apr_2009,229
mei_2009,132
jun_2009,49
jul_2009,21
agu_2009,1
sep_2009,0
okt_2009,100
nov_2009,102
des_2009,227
jan_2010,227
feb_2010,174
mar_2010,259
apr_2010,151
mei_2010,208
jun_2010,81
jul_2010,100
agu_2010,107
sep_2010,396
okt_2010,322
nov_2010,342
des_2010,374
jan_2011,358
feb_2011,405
mar_2011,234
apr_2011,274
mei_2011,184
jun_2011,5
jul_2011,0
agu_2011,0
sep_2011,0
okt_2011,26
nov_2011,241
des_2011,310
jan_2012,296
feb_2012,388
mar_2012,321
apr_2012,247
mei_2012,63
jun_2012,4
jul_2012,0
agu_2012,0
sep_2012,0
okt_2012,67
nov_2012,222
des_2012,407
jan_2013,493
feb_2013,369
mar_2013,246
apr_2013,113
mei_2013,223
jun_2013,151
jul_2013,62
agu_2013,2
sep_2013,5
okt_2013,92
nov_2013,302
des_2013,534
jan_2014,297
feb_2014,298
mar_2014,157
apr_2014,177
mei_2014,97
jun_2014,66
jul_2014,51
agu_2014,0
sep_2014,0
okt_2014,3
nov_2014,376
des_2014,503
jan_2015,315
feb_2015,102
mar_2015,379
apr_2015,294
mei_2015,29
jun_2015,31
jul_2015,0
agu_2015,0
sep_2015,0
okt_2015,0
nov_2015,147
des_2015,249
jan_2016,187
feb_2016,459
mar_2016,503
apr_2016,216
mei_2016,128
jun_2016,147
jul_2016,219
agu_2016,33
sep_2016,250
okt_2016,372
nov_2016,643
des_2016,344
jan_2017,369
feb_2017,384
mar_2017,399
apr_2017,337
mei_2017,138
jun_2017,43
jul_2017,16
agu_2017,1
sep_2017,148
okt_2017,215
nov_2017,874
des_2017,316
jan_2018,525
feb_2018,407
mar_2018,279
apr_2018,187
mei_2018,24
jun_2018,0
jul_2018,0
agu_2018,0
sep_2018,0
okt_2018,0
nov_2018,211
des_2018,238
