Teks,label
"Saya punya kartu bpjs ketenagakerjaan 3 kartu saya mau amalgamasi jadi 1 kartu. tapi ketiga kartu itu masih 1 perusahaan semua. saya didaftarkan sama perusahan di kantor pusat bpjs ketenagakerjaan jakarta. apa bisa dilakukan amalgamasi di kantor cabang bpjs ketenagakerjaan terdekat",8
"Yth BPJS Ketenagakerjaan Jakarta. Saya ingin menanyakan perihal pencairan dana jht saya. Saya melakukan pencairan melalui Bank BJB pada tgl 11 April 2018. Saldo saya sudah menjadi Nol pada tgl 19 April 2018 .Tetapi hingga saat ini 23 April 2018 belum ada transferan yg masuk ke rekening saya",8
"Kepada Yth. BPJS Ketenagakerjaan Jakarta. Saya ingin menyampaikan perihal status klaim saya. Saldo saya sudah nol tapi kenapa belum ada transferan ke rek bjb saya ya",8
"kepada Yth. BPJS ketenagakerjaan Jakarta Grogol. saya eklaim jht dan dokumen berhasil direkam dan saya diharuskan menunggu selama 2x24 jam. Sampai saat ini saya belum menerima pemberitahuan dan akhirnya mendatangi kantor BPJS Jakarta Grogol dan mendapatkan informasi systemnya error dan belum bisa memproses.Tolong diperbaiki pelayanannya. Terima kasih",8
"Tolong koreksi ya saya sudah daftar online tp ngga bisa setelah saya pergi ke kantor bpjs terdekat katanya datanya ada di jakarta. tolong kepada Kantor bpjs ketenagakerjaan jakarta selipi di koreksi no kpj 13039589687 ibu kandung JURIAH",8
"Dalam Pengajuan Eklaim JHT melalui bank BRI cabang PIK jakarta utara BPJS Ketenagakerjaan. Data klaim saya sudah dalam tahap pengajuan. Sampai saat ini belum ada BALASAN .padahal saya sangat membutuhkan dana tersebut",8
"Bpjs ketenagakerjaan Jakarta Pulogebang. saya sudah mengajukan rekam e-klaim. dan sudah mendapatkan email notifikasi untuk menunggu 2x24 jam terhitung dari tanggal 14 November 2017 sudah lebih dari 2x24 jam akan tetapi saya belum mendapatkan email persetujuan dari kantor cabang Jakarta pulogebang. Terima kasih",8
"Saya mendapatkan informasi dari bagian HRD bahwa beberapa bulan terakhir manajemen perusahaan tidak membayarkan iuran Jamsostek (BPJS Ketenagakerjaan) padahal gaji karyawan masih tetap dipotong. Ini sangat merugikan saya dan teman2 sesama karyawan yang kesulitan dalam melanjutkan iuran di tempat kerja baru atau bagi yang mau mencairkan saldo setelah resign.",8
"Yth BPJS KETENAGAKERJAAN JAKARTA SELATAN. Saya dengan nama Mukhamad Ratoyo. No kpj 11039022808.No ktp 3329092303920008.nama saya di data bpjs yang Moh Ratoyo salah.yang benar Mukhamad Ratoyo.tolong koreksi data saya. TERIMA KASIH",8
"kenapa pencairan dana JHT BPJS Ketenagakerjaan di cabang ini melalui bank bukopin lama proses cairnya. padahal dokumen lengkap dan tdk bermasalah. sudah hampir 3 minggu masih belum juga cair. kata pihak BPJS dan bank sendiri bilang 14hr kerja",8
"Saya selalu mengecek saldo bulanan BPJS JHT dengan no KPJ 11029592414 tetapi tidak ada perubahan / update di bulan april 2016. saya sudah konfirmasi ke perusahaan mereka mengatakan sudah dibayarkan . berapa hari saya harus menunggu update saldo jht setelah pembayaran dari perusahaan. saya telepon ke kantor cabang BPJS ketenagakerjaan jakarta grogol dimana tempat saya terdaftar sebagai peserta bpjs ketenagakerjaan tidak ada yang mengangkat walaupun sudah berhari hari ditelepon",8
"Saya mengajukan klaim JHT pada tanggal 18 FEBRUARI 2016 ke kantor BPJS Ketenagakerjaan Jakarta Mampang secara online. Untuk proses pencairannya telah dilakukan. proses klaim tersebut belum juga dilakukan. Menghubungi kantor BPJS Ketenagakerjaan sangat sulit. Proses klaim sudah tertunda hingga hampir 1 BULAN lebih",8
"Saya nikita dhea umur 23 tahun. tahun ini saya di terima kerja disalah satu perusahaan swasta. dan masalah muncul saat bagian hrd kantor saya mau membuatkan bpjs ketenagakerjaan dan kesehatan. nomor nik dan kk saya tidak ada yang benar",8
"saya telah memasukan data klaim santunan cacat akibat kecelakaan kerja dari tanggal 29 oktober 2019. Sampai sekarang kok belum ada panggilan dari bpjs.yang saya mau tanyakan butuh berapa lama proses klaim nya dan sudah sampai dimana proses klaim saya",8
"setelah saya cek saldo bpjs ketenagakerjaan saya. kok tidak ada perhitungan saat saya bekerja di pt destinasi tirta nusantara. padahal waktu itu kita bayar aktif. mohon bantuannya. Terimakasih",8
"saya klaim melalui bank btn cabang kemanggisan pada tanggal 08 oktober. tetapi sampai saat ini tanggal 15 november 2019 belum ada dana cair. saya juga sudah mengirim email ke layanan care@bpjsketenagakerjaan.go.id dan selalu mendapat jawaban sedang di proses dengan no pengaduan ldu-2327010",8
"saya telah mengajukan klaim jht pada tanggal 25 oktober 2019 di cabang kelapa gading. tapi sampai saat ini uang belum masuk ke rekening saya. no. kpj : 1403522¹424/15048030199",8
"saya ingin menlaporkan petugas pembina perusahaan dan ro bpjs ketenagakerjaan grogol. saya adalah pengelola bpjs mewakili perusahaan saya. memang saat ini bpjs telah terkomputerisasi melalui web dan mobile app. tetapi yang namanya system pasti ada saja errornya. nah disaat seperti ini sesuai dengan aturannya apabila mendapatkan kendala maka meminta bantuan pada pembina perusahaan masing-masing. namun saya tidak mendapatkan pelayanan yang semestinya",8
"Saya ingin melaporkan pihak perusahaan yg melanggar hak mantan karyawan dr perusahaan tersebut. hingga mengalami tertundanya klaim bpjs ketenagakerjaan di karena kan pihak perusahaan belum melunasi/menunggak pembayaran ke bpjs ketenagakerjaan. sedangkan mantan karyawan semasa kerja sllu di potong gaji setiap blnnya untuk pembayaran bpjs ketenagakerjaan",8
"saya kemarin tgl 22 udah mengajukan pencairan dana jht tapi ada kendala karena perbedaan no nik di bpjs dgn no nik di ktp. terus saya pada tanggal 24 ke bank bjb minta surat koreksi trus di kasih dan di sruh ke pabrik buat minta ttd dan stempel",8
"mohon pentujuknya kartu bpjs ketenagakerjaan hilang dan nama tdk sesuai mohon solusinya bapak/ibu kantor bpjs ketenagakerjaan",8
