Teks,label
pt. landaffal tidak membayarkan iuran bpjs kesehatan para karyawan. yang berakibat nonaktifnya bpjs. padahal banyak karyawan memerlukan untuk perawatan rutin setiap bulan melahirkan dan berobat. mohon bantu kami para karyawan sudah menggunakan biaya sendiri untuk berobat selama 2 bulan bertutut turut,2
Hotline Service BPJS Kesehatan Jakarta Selatan 0812-8415 148 sulit dihubungi tidak pernah diangkat. inbox penuh. No telpon kantor 021- 794 6321 juga tidak bisa di hubungi. Ingin menanyakan RO untuk kirim email form 37 mutas peserta badan usaha,2
Yth BPJS Kesehatan Jakarta Pusat. Mohon informasi VA keluarga itu prosedurnya seperti apa? Terima kasih,2
data saya sebelumnya adalah BPJS Kesehatan mandiri. tapi ketika ingin didaftarkan oleh perusahaan tidak bisa. karena terdaftar sebagai peserta PBI. padahal kartu sebelumnya terdaftar di kelas satu sebagai peserta mandiri. Mohon dijelaskan untuk hal ini,2
yth bpjs kesehatan jakarta pusat mohon informasi tagihan iuran dengan no peserat bpjs 0001833083908 ROHBANIYAH,2
Yth Bpjs Kesehatan Jakarta Pusat . bagaimana cara memindahkan faskes?,2
Saya mau cek tagihan BPJS Kesehatan untuk kartu dengan nomor 0001659144688. dan apakah saya bisa minta alamat BPJS Kesehatan Jakarta Pusat?,2
Saya peserta bpjs kesehatan mandiri nomor kartu 0001339895125 mendapat teguran lewat email dari kantor bpjs kesehatan Jakarta Utara. padahal saya sudah bayar sampai bulan Januari 2016 lewat virtual account bank Mandiri.  Bagaimana proses administrasinya,2
Peserta ingin mendaftarkan karyawan Badan usahanya. Sudah datang ke kantor cabang BPJS Kesehatan Jakarta selatan tapi ada gangguan. Mohon tindaklanjutnya,2
Kantor BPJS Kesehatan Jakarta Selatan (Pasar Minggu) tidak bisa dihubungi. jika masuk pun tidak pernah di angkat. Nomor kantor pun juga selalu bernada sibuk. Kami (Badan Usaha / Perusahaan) susah sekali berkoordinasi dengan petugas disana via telephone. Selalu disarankan untuk datang ke kantor.,2
Banyak petugas BPJS Kesehatan yang nongkrong di warung sambil merokok. Sementara banyak orang menunggu tanpa pelayanan tetap lambat. Banyak loket yang kosong. dengan alasan petugas sedang istirahat. Padahal waktu sudah menunjukkan pukul 13.20 WIB. Sampai jam 16 Di Kantor BPJS Kesehatan Jakarta Barat. pelayanannya sangat buruk.,2
Tambahan peserta dalam satu kk dimana terdapat anggota keluarga yang telah terdaftar. diperlukan ke kantor bpjs setempat. untuk mendaftar di kantor cabang bpjs kesehatan jakarta harus antri sejak jam 4 pagi. mohon agar penambahan anggota keluarga dapat dilakukan secara online saja karena dapat menghemat waktu,2
Berapakah no telp hotline service untuk Kantor Cabang BPJS Kesehatan Jakarta Pusat? dan apakah saya bisa melakukan pendaftaran via telp saja?,2
Yang ingin saya tanyakan adalah: 1. Apakah Jamsostek saya berlaku sebagai Kartu BPJS Kesehatan? dan apakah dapat digunakan pada RS di Jakarta? 2. Bagaimana cara memberlakukan Kartu Jamsostek tersebut sebagai kartu BPJS? Apakah saya dapat mendaftar sebagai anggota BPJS Kesehatan Jakarta?,2
Saya ingin melaporkan bahwa Call Center BPJS Kesehatan Jakarta Pusat tidak tanggap. Sudah tiga hari saya telepon dan tidak diangkat sama sekali,2
Sebenarnya mengapa BPJS Kesehatan di wilayah Jakarta sulit sekali dihubungi? Mohon pihak berwenang bisa menyelesalikan masalah ini. Saya berharap laporan ini bisa lebih mendorong lagi BPJS Kesehatan untuk meningkatkan pelayanannya,2
Mohon aktivasinya untuk keperluan pendaftaran bpjs kesehatan. no.kk  7604032409130004 nik  7604036608190001,2
Yth. bpjs kesehatan ingin menanyakan status keaktifan bpjs pbi saya apakah masih aktif atau tidak? nama : m kholid mawardi noka: 0002021091928,2
apakah saya bisa melakukan registrasi bpjs di jakarta apabila ktp saya adalah ktp luar daerah?,2
pak mohon informasi untuk penderita tb paru yang tidak memiliki ktp dan bpjs kesehatan apakah bisa berobat di rsu daerah lubuk pakam?,2
