Teks,label
"mohon bantuan perbaikan jalan karena kondisi jalan sudah tidak memadai dan banyak yang rusak",7
"jalan said toyib yang menghubungkan jalan residen abdyl rozak dan jalan sapta marga rusak di beberapa titik ditambah ada satu bagian jalan yang yang menyempit karena ada selokan yang tidak tertutup. sehingga menyebabkan kemacetan",7
"mohon bantuannya lampu penerangan jalan di jalan sematang borang besi penyangganya patah",7
"saya mau melaporkan ada dua lampu jalan yang tidak berfungsi di jalan demang 4",7
"mohon agar memperbaiki jalanan di pemukiman kami jln. Lomba raya jakarta timur. jalan rusak parah dan selalu basah seperti ada air yang keluar dari tanah",7
"tolong di perbaiki jalanan yang ada di jalan talang gading jakarta timur karena terlalu banyak lobang besar",7
"lapor telah terjadi kerusakan jalan di daerah jalan abikusno jakarta selatan",7
"saya ingin melaporkan bahwa banyak bangunan liar dari kali sunter arah cempaka mas dan setiap harinya ada yang membuat gubuk liar",7
"jalan lubang buaya di pondok gede sudah semakin padat padahal jalannya sempit terutama di akses keluar masuk jalan pondok gede. Apakah ada rencana pelebaran jalan tersebut?",7
"tolong diperbaiki jalan akses di tpu prumpung jakarta timur karena sudah rusak kurang lebih 3 tahun",7
"mohon di tindak lanjuti kontraktor yang tidak bertanggung jawab menggali kabel pinggir jalan dan asal penutupannya. banyak lobang bekas galian kabel yang mengakibatkan banjir dan jalan rusak",7
"pekerjaan trotoar di jalan ngurah rai klender dilakukan dengan sembarangan pasalnya banyak material yang masih menumpuk dan pekerjaan yang belum rampung. dan masih banyak trotoar ayang bolong-bolong sehingga membahayakan pejalan kaki",7
"saya melaporkan ada jalan berlubangh di jalan lodan raya",7
"ada bekas galian di jln. Inerbang jakarta timur ditinggalkan begitu saja",7
"pompa air di jln. Tubagus angke masih ada lubang besar di tembok pinggir kalinya",7
"saya ingin melporkan terdapat banyak jalan berlubang dan rusak di jalan sunter agung jakarta utara",7
"flyover rawa bebek cakung baru di aspal tidak sampai tiga bulan sudah rusak lagi sangat membahayakan kendaraan bermotor",7
"lubang besar tidak di tutup sudah hampir setahun di jalan fatmawati no 83",7
"saya ingin melaporkan jalan hasil normalisasi saluran air di jl. Sawo III manggarai selatan amblas sehingga menyebabkan kendaraan yang melintas terperosok",7
"sambungan beton di jakarta utara renggang sehingga sering kali pengendara motor terjatuh",7
"akibat penggalian tanah proyek pipa gas di jalan raya plumpang semper terjadi penurunan jalan",7
"kabel listrik menutupi jalan di pertigaan lampu merah dewi sartika berbahaya untuk para pengendara",7
"saya ingin melaporkan infrastruktur di daerah jakarta barat khususnya kalianyar sangat kacau karena sedang di bongkar untuk membuat saluran air",7
"saya ingin melporkan bahwa adanya banjir dan juga banyaknya bangunan liar milik warga yang sangat dekat dengan bantaran kali",7
"saya ingin melaporkan bahwa di hl. Mangga 22 sudah 30 tahun tidak ada perbaikan jalan",7
"saya lapor mengenai saluran air di sepanjang jalan duren jakarta barat tersumbat 3 akar pohon besar",7
"gorong-gorong di bawah jembatan sudah tidak bisa menampung air sehingga banjir",7
"jalan berlubang menyebabkan kemacetan",7
"pembangunan overpass perempatan cempaka mas sudah mangkarak 10 tahun",7
"mohon untuk dibuatkan jembatan penyebrangan orang di stasiun cawang",7
"daerah kami setiap hujan banjir karena got sudah tidak menampung lagi karena air di bawah jembatan mau masuk tol jatibening kurang lebar dan dalam maka air tertahan. mohon dinas terkait untuk menindaklanjutinya",8
"mohon diperbaiki jalan outer ringroad dikawasan cengkareng arah ke bandara dikarenakan jalan berlubang menyebabkan kemacetan parah",8
"pembangunan overpass ramp di perempatan cempaka sudah hampir 10 tahun mangkrak",8
"dengan ini kami mengajukan usulan perbaikan pengaspalan kompleks rumah cira yang kondisi fisiknya sudah rusak berlubang dan terjadi genangan air setelah hujan",8
"gorong-gorong hasil pembuatan pemda jakarta timur amblas sangat bahaya karena got tersebut sangat dalam mohon di bantu diperbaiki secepatnya",8
"mohon perbaikan jalan tanjung 13 perumahan rancholindah tanjung barat jakarta selatan rusak akibat pembuatan gorong-gorong",8
"jalan rusak di jln swadharma raya joglo mohon ditindak lanjuti",8
"harap perbaikan seluruh beton Mcb pembatas jalur busway senen hingga pilogadung agar tidak diokupasi kendaraan pribadi",8
"betonisasi jalan belum dilakukan juga di sepanjang jl gelora sunter jakarta utara selalu rusak dan tergenang",8
"jembatan amblas di daerah hankam slipi pinggir kali inspeksi. sudah 3 bulan belum dikerjakan baru selesai dirubuhkan sisa 2 bangunanya. mohon ditindak lanjuti karena penting sebagai jalan alternatif mengurangi kemacetan",8
"lubang galian yang di duga dilakukan oleh perusahaan yang katanya untuk menara CCTV yang terletak di pinggir jalan sudah seminggu ini dibiarkan terbuka",8
"pembangunan waduk terbengkalai padahal sangat bergunan untuk menanggulangi banjir",8
"saya mohon bantuannya agar ada perbaikan jalan karena jalan dilingkungan rumah saya sudah rusak apalagi sudah memasuki musim hujan jalanan jadi berlumpur dan licin",8
"saya minta tolong jalan mangga 22 kepa duri yang minta diperbaiki jalannya",8
"sodetan dari ciliwung lewat bidara cina ke BKT kapan ditindaklanjuti?",8
"jembatan penyebrangan orang yang dibangun era kemarin konstruksi besi kualitas nomor 2. tidak dilapisi cat dasar anti karat. pengelasan tidak baik",8
"jembatan penyeberangan halte sunter karya jakarta utara dinding di atas jembatan penyebrangan terbuat dari semen sekarang sudah rontok",8
"waduk situ rawa lindung di pesanggrahan jakarta selatan sudah lama di urus untuk mengatasi banjir. tapi kenapa belum selesai?",8
"mohon pembangunan tanggul dan taman di jalan fajar aladin pangkalan bambu teluk gong jakarta utara. segera diselesaikan pekerjaannya agar lebih rapi dan tidak macet",8
"mohon lampu penerangan jalan di jl. Punai jakarta timur dapat dibetulkan",8
"tolong perbaiki jembatan penyebrangan di daerah jakarta selatan khususnya daerah cilandak",8
"tolong di buat jembatan penyebrangan jalan di depan kampus IISIP lenteng agung jakarta selatan",8
"ada lubang yang sudah lama di depan PT Temas Line sunter pada jalur lambat. lubang ini cukup dalam dan berbahaya bagi pengendara motor",8
"jalan umum yang hancur rusak berlubang mengakibatkan kemacetan",8
"kondisi jalan umum yang lokasinya berada di jalan mundu jakarta timur sudah bertahun-tahun rusak dan berlubang",8
"saya mohon agar segera di realisasikan pembuatan saluran air di kelurahan pulo gebang jakarta timur",8
"saya lapor mengenai adanya pengurukan atau penyempitan yang dilakukan di pinggiran bantaran kali untuk keperluan pribadi",8
"saya ingin melaporkan pekerjaan pemindahan saluran pembuangan air di sepanjang jl. Panglima polim raya jakarta selatan sampai saat ini masih dibiarkan terbuka tanpa di tindak lanjuti",8
"mohon untuk memperbaiki jalan rusak di jl. Kemurnian IV jakarta barat",8
"mohon di tindak lanjuti atas kondisi jalan di sekitar perlintasan rel kerata api mulai dari jl. Semeru jakarta barat yang mengalami kerusakan",8
"saya ingin melaporkan mengenai indikasi pembangunan rumah dua lantai tanpa izin",3
"mohon dilakukan pengecekan karena adanya pembangunan rumah tinggal hingga ke jalan raya",3
"Kepada Yth. Pemerintah Provinsi DKI Jakarta. PT.Metaliska yang telah mendirikan bangunan diatas tanah bantaran kali (melanggar GSK) 300 m dari terminal bus Pulogadung arah ke Timur. mohon di tindak Terima kasih",3
"Mohon ditindak bangunan liar yang bermasalah di jalan DI Panjaitan Kec. Jatinegara yang sudah sempat dilakukan pembongkaran bangunan yang hanya seperti formalitas saja",3
"kami hendak melaporkan bengkel bernama Arayata Gapzo yang dibangun tanpa memiliki izin mendirikan bangunan (IMB)",3
"diharapkan perhatian dan tindak lanjutannya atas kondisi perumahan taman kencana kelurahan cengkareng barat yang masih seperti tahun-tahun sebelumnya selalu diterjang banjir",3
"saya ingin melaporkan telah terjadi pelanggaran pembangunan tempat tinggal untuk rumah kontrakan",3
saya ingin melaporkan dugaan penyalahgunaan bangunan yang dilakukan oleh warga,3
"bangunan usaha kos-kosan tiga lantai tanpa izin mendirikan bangunan (IMB)",3
